Studgang;Sem;Stud-Gr;Anrede ModulB;Modulbeauftragte/r;Modul;Art;SWS;Status;Anrede;Titel;Vorname;Nachname;HS;Raum;LV-Start;Sondertermine;Mo B;Mo E;Di B;Di E;Mi B;Mi E;Do B;Do E;Fr B;Fr E;Sa B;Sa E
VI;1;1;Frau;Lück-Schneider;M 01 Schwerpunkt: Einführung in das Studium / IT-Infrastruktur I;LV;2;LB;Herr;Prof. Dr.;Heinrich;Bücker-Gärtner;0;6A 105;ab 40. KW;;;;;;;;;;14.00;16.00;;
VI;1;1;Frau;Lück-Schneider;M 01 Schwerpunkt: IT-Infrastruktur I;LV;2;LB;Herr;0;Arthur;Zimmermann;0;6A 123;ab 41. KW, 14-tägig;;09.00;13.00;;;;;;;;;;
VI;1;0;Frau;Elkina;M 02 Einführung in die Informatik;LV, PCÜ;4;;;0;0;0;0;;;;;;;;;;;;;;;
VI;1;1;Frau;Elkina;M 02 Einführung in die Informatik;LV;2;Prof;Frau;Prof. Dr.;Margarita;Elkina;HWR;6A 123;ab 40. KW;;;;10.00;12.00;;;;;;;;
VI;1;1a;Frau;Elkina;M 02 Einführung in die Informatik;PCÜ;2;Prof;Frau;Prof. Dr.;Margarita;Elkina;HWR;6A 123;ab 40. KW;;;;12.00;14.00;;;;;;;;
VI;1;1b;Frau;Elkina;M 02 Einführung in die Informatik;PCÜ;2;Prof;Frau;Prof. Dr.;Margarita;Elkina;HWR;6A 123;ab 40. KW;;;;14.00;16.00;;;;;;;;
VI;1;0;Frau;Elkina;M 03 Programmierung und Softwareentwicklung I;LV, PCÜ;4;;;0;0;0;0;;;;;;;;;;;;;;;
VI;1;1;Frau;Elkina;M 03 Programmierung und Softwareentwicklung I;LV;2;Prof;Frau;Prof. Dr.;Margarita;Elkina;HWR;6A 123;ab 40. KW;;;;;;;;10.00;12.00;;;;
VI;1;1a;Frau;Elkina;M 03 Programmierung und Softwareentwicklung I;PCÜ;2;Prof;Frau;Prof. Dr.;Margarita;Elkina;HWR;6A 123;ab 40. KW;;;;;;;;12.00;14.00;;;;
VI;1;1b;Frau;Elkina;M 03 Programmierung und Softwareentwicklung I;PCÜ;2;Prof;Frau;Prof. Dr.;Margarita;Elkina;HWR;6A 123;ab 40. KW;;;;;;;;14.00;16.00;;;;
VI;1;1;;N.N.;M 04 Einführung in die Verwaltungswissenschaft I;LV;4;LB;Herr;Dr.;Jens;Tessmann;0;6B 066;ab 41. KW;;13.00;17.00;;;;;;;;;;
VI;1;1;Herr;Tomerius;M 05 Grundrechte und Datenschutzrecht;LV;4;LB;Herr;0;Jan Christian;Sahl;0;6A 105;ab 40. KW;;;;;;;;;;10.00;14.00;;
VI;3;1a;Frau;Lück-Schneider;M 11 Projekt- und Geschäftsprozessmanagement;PCÜ;4;LB;Herr;Prof. Dr.;Isabella;Nolte;0;6B 371;ab 41. KW;nicht 22.11., dafür 29.11. 14 bis 18 Uhr;;;;;;;09.00;13.00;;;;
VI;3;1b;Frau;Lück-Schneider;M 11 Projekt- und Geschäftsprozessmanagement;PCÜ;4;LB;Herr;0;Matthias;Putzler;0;6A 124;ab 40. KW;;;;;;;;08.00;12.00;;;;
VI;3;1a;Herr;Otter;M 12 Fremdsprache;PÜ;4;LB;Herr;0;John;Gordon;0;6A 122;ab 41. KW;;08.00;12.00;;;;;;;;;;
VI;3;1b;Herr;Otter;M 12 Fremdsprache;PÜ;4;LB;Herr;0;John;Gordon;0;6A 122;ab 41. KW;;12.00;16.00;;;;;;;;;;
VI;3;0;Frau;Wüstner;M 13 Sozialwissenschaften I;LV, Ü;4;;;0;0;0;0;;;;;;;;;;;;;;;
VI;3;1;Frau;Wüstner;M 13 Sozialwissenschaften I;LV;2;Prof;Frau;Prof. Dr.;Kerstin;Wüstner;HWR;6A 019;ab 40. KW;;;;12.00;14.00;;;;;;;;
VI;3;1a;Frau;Wüstner;M 13 Sozialwissenschaften I;Ü;2;Prof;Frau;Prof. Dr.;Kerstin;Wüstner;HWR;6A 019;ab 40. KW;;;;14.00;16.00;;;;;;;;
VI;3;1b;Frau;Wüstner;M 13 Sozialwissenschaften I;Ü;2;Prof;Frau;Prof. Dr.;Kerstin;Wüstner;HWR;6A 019;ab 40. KW;;;;16.00;18.00;;;;;;;;
VI;3;0;Frau;Lück-Schneider;M 14 Datenbanken I;LV, Ü;4;;;0;0;0;0;;;;;;;;;;;;;;;
VI;3;1;Frau;Lück-Schneider;M 14 Datenbanken I;LV;2;Prof;Frau;Prof. Dr.;Dagmar;Lück-Schneider;HWR;6A 124;ab 40. KW;;;;;;08.00;10.00;;;;;;
VI;3;1a;Frau;Lück-Schneider;M 14 Datenbanken I;PCÜ;2;Prof;Frau;Prof. Dr.;Dagmar;Lück-Schneider;HWR;6A 124;ab 40. KW;;;;;;10.00;12.00;;;;;;
VI;3;1b;Frau;Lück-Schneider;M 14 Datenbanken I;PCÜ;2;Prof;Frau;Prof. Dr.;Dagmar;Lück-Schneider;HWR;6A 124;ab 40. KW;;;;;;12.00;14.00;;;;;;
VI;3;1;Frau;Hohn;M 15 BWL I;LV;4;GastDoz;Herr;Dr.;Martin;Dastig;HWR;6B 253;ab 40. KW;;;;18.30;21.00;;;;;;;;
VI;3;0;Frau;Lück-Schneider;M 16 Datenbanken II (verschoben von SoSe 18 auf WS 18 / 19);LV, Ü;4;;;0;0;0;0;;;;;;;;;;;;;;;
VI;5;1;Frau;Lück-Schneider;M 16 Datenbanken II;LV;2;Prof;Frau;Prof. Dr.;Dagmar;Lück-Schneider;HWR;6A 124;ab 40. KW;;;;10.00;12.00;;;;;;;;
VI;5;1a;Frau;Lück-Schneider;M 16 Datenbanken II;PCÜ;2;Prof;Frau;Prof. Dr.;Dagmar;Lück-Schneider;HWR;6A 124;ab 40. KW;;;;12.00;14.00;;;;;;;;
VI;5;1a;Frau;Elkina;M 21 Projektumsetzung;PS;4;GastProf;Frau;Prof. Dr.;Isabella;Nolte;HWR;s. Finca;ab 41. KW;nicht 21.11., dafür: 28.11. 14 bis 18 Uhr;;;;;10.00;14.00;;;;;;
VI;5;1b;Frau;Elkina;M 21 Projektumsetzung;PS;4;Prof;Frau;Prof. Dr.;Margarita;Elkina;HWR;6A 123;ab 41. KW;;;;;;10.00;14.00;;;;;;
VI;5;0;Frau;Wüstner;M 22a Soziale Kompetenzen II;LV, Ü;4;;;0;0;0;0;;;;;;;;;;;;;;;
VI;5;1;Frau;Wüstner;M 22a Soziale Kompetenzen II;LV;2;Prof;Herr;Prof. Dr.;Tobias;Ringeisen;HWR;12.066;ab 40. KW;;;;14.00;16.00;;;;;;;;
VI;5;1a;Frau;Wüstner;M 22a Soziale Kompetenzen II;Ü;2;Prof;Herr;Prof. Dr.;Tobias;Ringeisen;HWR;6A 325;ab 40. KW, 14-tägig;;;;;;;;12.00;16.00;;;;
VI;5;1b;Frau;Wüstner;M 22a Soziale Kompetenzen II;Ü;2;Prof;Herr;Prof. Dr.;Tobias;Ringeisen;HWR;6A 325;ab 41. KW, 14-tägig;;;;;;;;12.00;16.00;;;;
VI;5;1;Herr;Kraatz;M 22b Ethik und Nachhaltigkeit (LVen im Rahmen von SG);LV;4;;;0;0;0;0;;;;;;;;;;;;;;;
VI;5;1;Frau;Adam;M 23 Öffentliches Haushaltswesen;LV;4;LB;Frau;0;Guiletta;Thalau;0;s. Finca;;Do: 41. KW bis 04. KW, Mo: 29.10., 05.11., 12.11. nicht 08.11., 20.12., dafür: 05.12. 15 bis 19 Uhr, 17.12. 11 bis 15 Uhr ;15.30;19.30;;;;;16.00;20.00;;;;
VI;5;1;Frau;Lück-Schneider;M 24 IT-Sicherheit;LV;4;LB;Herr;0;Christian;Dahler;0;12.066;40. KW bis 02. KW;nicht 02.10.;;;16.00;20.00;;;;;;;;
VI;5;1a;;N.N.;M 25a Verwaltungswissenschaft III;PS;4;;;0;0;;0;;;;;;;;;;;;;;;
VI;5;1b;Frau;Busch;M 25b Arbeits- und Beamtenrecht;PS;4;LB;Herr;0;Uwe;Januszewski;0;6A 327;42. KW bis 06. KW;nicht: 29.10., 05.11., 12.11.;14.00;18.30;;;;;;;;;;
VI;7;0;Frau;Lück-Schneider;M 28 IT-Vertiefung (E-Government-Architekturen, Fachverfahren, TK-Systeme / Infrastruktur III;LV, PCÜ;6;;;0;0;0;0;;;;;;;;;;;;;;;
VI;7;1;Frau;Lück-Schneider;M 28 IT-Vertiefung Fachverfahren;LV;4;LB;Herr;0;Tino;Eilenberger;0;s. Finca;;06.02., 12.02., 13.02.,  19.02., 20.02., 26.02., 27.02.;;;08.00;16.30;08.00;16.30;;;;;;
VI;7;1a;Frau;Lück-Schneider;M 28 IT-Vertiefung TK-Systeme / Infrastruktur III;LV;2;LB;Herr;0;Christian;Dahler;0;6A 124;03. KW bis 08. KW;;;;;;;;16.00;20.00;;;;
VI;7;1b;Frau;Lück-Schneider;M 28 IT-Vertiefung E-Government-Architekturen;PCÜ;2;LB;Herr;0;Wolfgang;Schneider;0;6A 124;;Fr: 11.01., 25.01., 01.02., 08.02., Sa: 12.01., 26.01., 02.02., 09.02. bis 13.15, 16.02. bis 11.20 Uhr Klausur, 23.02.;;;;;;;;;14.00;18.30;10.00;Dez 30
VI;7;1;Frau;Lück-Schneider;M 29 E-Government II;LV;4;LB;Herr;0;Tino;Eilenberger;0;s. Finca;;15.01., 16.01., 22.01., 23.01., 29.01., 30.01., 05.02.;;;08.00;16.30;08.00;16.30;;;;;;
VI;7;1a;Frau;Lück-Schneider;M 30 Examinatorium;Ü;2;Prof;Frau;Prof. Dr.;Margarita;Elkina;0;6A 123;ab 40. KW;;;;16.00;18.00;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;lt;;;;;;;;;;;;;;
;;;;;Module mit mehreren Schwerpunkten / Teilung LV und Übung;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;angefragt;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Empfehlung LB ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Interesse LA;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Studiengruppen gemeinsam;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;LA nach FBR-Beschluss;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;gestrichen;;;;;;;;;;;;;;;;;;;;;;;
